央视,#genre#
CCTV8-电视剧,http://110.181.233.200:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://111.196.134.132:20000/rtp/239.3.1.175:8001
CCTV9-纪录,http://221.7.49.226:50085/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://111.196.134.132:20000/rtp/239.3.1.62:8112
CCTV9-纪录,http://110.181.233.200:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://221.7.49.226:50085/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://111.196.134.132:20000/rtp/239.3.1.63:8116
CCTV11-戏曲,http://111.196.134.132:20000/rtp/239.3.1.152:8120
CCTV11-戏曲,http://101.206.202.6:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-11-H265_4000.m3u8
CCTV11-戏曲,https://stream1.freetv.fun/d4738f1169eee02cdecc574ad792d73d59b14625041534857a4b2b5307d805ca.m3u8
CCTV11-戏曲,http://39.164.160.249:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12-社会与法,http://110.181.233.200:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://111.196.134.132:20000/rtp/239.3.1.64:8124
CCTV13-新闻,http://111.196.134.132:20000/rtp/239.3.1.124:8128
CCTV13-新闻,http://221.7.49.226:50085/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://110.181.233.200:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://221.7.49.226:50085/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://110.181.233.200:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://111.196.134.132:20000/rtp/239.3.1.65:8132
CCTV15-音乐,http://111.196.134.132:20000/rtp/239.3.1.153:8136
CCTV15-音乐,http://111.196.134.132:20000/rtp/239.3.1.153:8136
CCTV16-奥林匹克,http://221.7.49.226:50085/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16-奥林匹克,http://111.196.134.132:20000/rtp/239.3.1.184:8001
CCTV17-农业农村,http://111.196.134.132:20000/rtp/239.3.1.151:8144
CCTV17-农业农村,http://221.7.49.226:50085/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0

卫视,#genre#
金鹰纪实,http://111.196.134.132:20000/rtp/239.3.1.58:8156
快乐垂钓,http://111.196.134.132:20000/rtp/239.3.1.164:8001
中国交通,http://111.196.134.132:20000/rtp/239.3.1.188:8001
北京卫视,http://111.196.134.132:20000/rtp/239.3.1.241:8000
北京卫视,http://111.196.134.132:20000/rtp/239.3.1.140:8001
北京卫视,http://111.196.134.132:20000/rtp/239.3.1.139:8001
东方卫视,http://111.196.134.132:20000/rtp/239.3.1.119:3006
广东卫视,http://111.196.134.132:20000/rtp/239.3.1.203:2000
深圳卫视,http://111.196.134.132:20000/rtp/239.3.1.202:2000
湖南卫视,http://111.196.134.132:20000/rtp/239.3.1.112:3002
山东卫视,http://111.196.134.132:20000/rtp/239.3.1.144:3005
四川卫视,http://111.196.134.132:20000/rtp/239.3.1.131:3001
浙江卫视,http://111.196.134.132:20000/rtp/239.3.1.114:3004
江苏卫视,http://111.196.134.132:20000/rtp/239.3.1.113:3003
重庆卫视,http://111.196.134.132:20000/rtp/239.3.1.122:8160
江苏卫视,http://111.196.134.132:20000/rtp/239.3.1.135:8028
浙江卫视,http://111.196.134.132:20000/rtp/239.3.1.137:8036
东方卫视,http://111.196.134.132:20000/rtp/239.3.1.136:8032
深圳卫视,http://111.196.134.132:20000/rtp/239.3.1.134:8020
山东卫视,http://111.196.134.132:20000/rtp/239.3.1.209:8052
天津卫视,http://111.196.134.132:20000/rtp/239.3.1.141:1234
贵州卫视,http://111.196.134.132:20000/rtp/239.3.1.149:8076
四川卫视,http://111.196.134.132:20000/rtp/239.3.1.29:8288
云南卫视,http://111.196.134.132:20000/rtp/239.3.1.26:8108
广西卫视,http://111.196.134.132:20000/rtp/239.3.1.39:8300
黑龙江卫视,http://111.196.134.132:20000/rtp/239.3.1.133:8016
安徽卫视,http://111.196.134.132:20000/rtp/239.3.1.211:8064
山西卫视,http://111.196.134.132:20000/rtp/239.3.1.42:8172
江西卫视,http://111.196.134.132:20000/rtp/239.3.1.123:8164
湖北卫视,http://111.196.134.132:20000/rtp/239.3.1.138:8044
旅游卫视,http://111.196.134.132:20000/rtp/239.3.1.45:8304
陕西卫视,http://111.196.134.132:20000/rtp/239.3.1.41:8140
东南卫视,http://111.196.134.132:20000/rtp/239.3.1.156:8148
厦门卫视,http://111.196.134.132:20000/rtp/239.3.1.143:4120
吉林卫视,http://111.196.134.132:20000/rtp/239.3.1.240:8172
辽宁卫视,http://111.196.134.132:20000/rtp/239.3.1.210:8056
内蒙古卫视,http://111.196.134.132:20000/rtp/239.3.1.43:8176
湖南卫视,http://111.196.134.132:20000/rtp/239.3.1.132:8012
广东卫视,http://111.196.134.132:20000/rtp/239.3.1.142:8048
河南卫视,http://111.196.134.132:20000/rtp/239.3.1.50:8184
河北卫视,http://111.196.134.132:20000/rtp/239.3.1.148:8072
青海卫视,http://111.196.134.132:20000/rtp/239.3.1.44:8184
西藏卫视,http://111.196.134.132:20000/rtp/239.3.1.166:8188
三沙卫视,http://111.196.134.132:20000/rtp/239.3.1.155:4120
金鹰卡通,http://111.196.134.132:20000/rtp/239.3.1.51:9252
嘉佳卡通,http://111.196.134.132:20000/rtp/239.3.1.147:9268
卡酷少儿,http://111.196.134.132:20000/rtp/239.3.1.189:8000
山东教育卫视,http://111.196.134.132:20000/rtp/239.3.1.52:4120


电影,#genre#
魅力时尚,http://111.196.134.132:20000/rtp/239.3.1.196:9012
军旅剧场,http://111.196.134.132:20000/rtp/239.3.1.69:4120
军旅剧场,http://111.196.134.132:20000/rtp/239.3.1.68:4120
动作影院,http://111.196.134.132:20000/rtp/239.3.1.92:4120
周星星,http://live.nctv.top/huya.php?id=11342412
成龙,http://live.nctv.top/huya.php?id=11342386
林正英,http://live.nctv.top/huya.php?id=11342421
李茶的姑妈,http://live.nctv.top/huya.php?id=880261
王晶,http://live.nctv.top/huya.php?id=11602058
贺岁档,http://live.nctv.top/huya.php?id=11601986
春节喜剧,http://live.nctv.top/huya.php?id=11352897
速肌,http://live.nctv.top/huya.php?id=11279251
刘德华,http://live.nctv.top/huya.php?id=11342424
丧尸来啦,http://live.nctv.top/huya.php?id=11342422
si神来了,http://live.nctv.top/huya.php?id=11352903
诺兰,http://live.nctv.top/huya.php?id=30080257
古天乐,http://live.nctv.top/huya.php?id=29982675
情人节,http://live.nctv.top/huya.php?id=11352915
女神系列,http://live.nctv.top/huya.php?id=11336571
喜剧专场,http://live.nctv.top/huya.php?id=11602044
Han国动作片,http://live.nctv.top/huya.php?id=11352884
香港贺岁片,http://live.nctv.top/huya.php?id=11601955
红楼梦,http://live.nctv.top/huya.php?id=30080221
许氏三杰,http://live.nctv.top/huya.php?id=11602033
玄幻剧场,http://live.nctv.top/huya.php?id=11342414
曾江,http://live.nctv.top/huya.php?id=11601981
动作电影,http://live.nctv.top/huya.php?id=11602077
国产悬疑,http://live.nctv.top/huya.php?id=11342395
尹正,http://live.nctv.top/huya.php?id=30080231
首尔之春,http://live.nctv.top/huya.php?id=30080226
港片追女仔,http://live.nctv.top/huya.php?id=11602043
孙红雷,http://live.nctv.top/huya.php?id=11352917
合家欢,http://live.nctv.top/huya.php?id=11352877
学不会系列,http://live.nctv.top/huya.php?id=11352945
误杀3,http://live.nctv.top/huya.php?id=880219

体育,#genre#
劲爆体育,http://221.7.49.226:50085/tsfile/live/0017_5.m3u8?key=txiptv&playlive=1&authid=0
华视体育,https://stream1.freetv.fun/f7d8e1fcfd7eb512251b6da18e67187760ac602c400781e48ce3976e1dbd62c1.ctv
广东体育,https://stream1.freetv.fun/280d062721afb928bbc31efaaac152ec1091c50e09d0a1b8f939752dd8e1f17c.ctv
广东体育,http://iptv.cqshushu.com/migu.php?pid=hk_gdty&token=a569c1130aaf6d7e7a587728cadc3f78
广东体育,http://iptv.cqshushu.com/migu.php?pid=gd_gdty&token=a569c1130aaf6d7e7a587728cadc3f78
江苏体育,http://iptv.cqshushu.com/migu.php?pid=%E4%BD%93%E8%82%B2%E4%BC%91%E9%97%B2%E9%A2%91%E9%81%93&token=a569c1130aaf6d7e7a587728cadc3f78
纬来体育,http://iptv.cqshushu.com/wltv.php?id=wlty&token=a569c1130aaf6d7e7a587728cadc3f78
纬来体育,rtmp://f13h.mine.nu:1935/sat/tv721
纬来体育,https://cdn.iptv8k.top/dl/jrys.php?id=291&time=20240926215313&ip=111.229.253.40
纬来体育,http://ku9.fr.to/smt.php?id=videolandsport
纬来体育,http://125.229.9.67:8562/http/220.130.87.218:8081/hls/67/809/ch028.m3u8
纬来体育,http://211.75.171.121:8564/http/61.67.128.137:8081/hls/67/809/ch028.m3u8
纬来体育,https://cloud.yumixiu768.com:443/tmp/123.m3u8
纬来体育,rtmp://220.130.201.73/sat/tv721


港澳,#genre#
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2
翡翠台,http://cdn6.163189.xyz/163189/fct4k
翡翠台,https://cdn.iptv8k.top/dl/jrys.php?id=3&time=20240926215313&ip=111.229.253.40
翡翠台,http://v2h.jdshipin.com/jade2/jade.stream/chunklist_w100.m3u8
翡翠台,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn
翡翠台,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941619&extension=ts&play_token=p2yEuU1aFS
无线新闻,http://iptv.cqshushu.com/migu.php?pid=hk_wxxw&token=a569c1130aaf6d7e7a587728cadc3f78
凤凰中文,http://iptv.cqshushu.com/migu.php?pid=fhzw&token=a569c1130aaf6d7e7a587728cadc3f78
凤凰中文,http://iptv.cqshushu.com/migu.php?pid=hk_fhzw&token=a569c1130aaf6d7e7a587728cadc3f78
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
凤凰中文,http://ttkx.cc:1380/公开源/fh.php?id=fhzw
凤凰中文,http://122.117.71.103:8574/http/61.222.53.250:8078/hls/21/80/phoenixch.m3u8
凤凰中文,http://211.75.171.121:8577/http/61.67.128.137:8078/hls/21/80/phoenixch.m3u8
凤凰中文,http://39.134.182.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236260/index.m3u8
凤凰中文,https://k44991.kylintv.tv/live/pxna_iphone.m3u8
凤凰中文,http://120.55.49.231:3095/rtp/233.50.200.191:5140
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
凤凰资讯,http://122.117.71.103:8573/http/61.222.53.250:8078/hls/20/80/phoenixif.m3u8
凤凰资讯,http://211.75.171.121:8576/http/61.67.128.137:8078/hls/20/80/phoenixif.m3u8
凤凰资讯,http://39.134.182.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236197/index.m3u8
凤凰资讯,https://k44991.kylintv.tv/live/pxinhd_iphone.m3u8
凤凰资讯,http://ttkx.cc:1380/公开源/fh.php?id=fhzx
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
凤凰资讯,http://120.55.49.231:3095/rtp/233.50.200.192:5140
凤凰香港,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn
凤凰香港,http://ttkx.cc:1380/公开源/fh.php?id=fhhk
凤凰卫视,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
凤凰卫视,https://k44991.kylintv.tv/live/pxna_iphone.m3u8
三立台湾,http://211.75.171.121:8516/http/61.67.128.137:8081/hls/65/807/ch020.m3u8
三立新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV32.m3u8
三立新闻,http://211.75.171.121:8537/http/61.67.128.137:8081/hls/65/807/ch018.m3u8
东森超视,rtmp://f13h.mine.nu/sat/tv331
东森超视,https://cdn.iptv8k.top/dl/jrys.php?id=216&time=20240926215313&ip=111.229.253.40
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist0.m3u8
东森超视,http://110.53.52.63:8888/newlive/live/hls/51/live.m3u8
东森超视,http://125.229.9.67:8524/http/220.130.87.218:8081/hls/64/806/ch014.m3u8
东森超视,http://211.75.171.121:8541/http/61.67.128.137:8081/hls/64/806/ch014.m3u8
TVBS亚洲,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
TVBS亚洲,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941621&extension=ts&play_token=vFR5CkmzbA
Viutv,http://php.jdshipin.com:8880/TVOD/iptv.php?id=viutv
Viutv,https://turkmedya-live.ercdn.net/tv360/tv360.m3u8
Viutv,https://live.hkdvb.com/hls/live/99.m3u8?token=631170156112507&edge=live.tvfree.sbs
NHK,https://stream.iptv-search.com/iptv_test/main.php?id=NHK+World-Japan+%281080p%29&t=1761535820&token=35acb59626417b014d13c5610d5cb348

赞助,#genre#
公众号,https://gitee.com/da-qiang-classmate/typora/raw/master/ceshi.mp4
大强同学,https://gitee.com/da-qiang-classmate/typora/raw/master/ceshi.mp4
赞助作者,https://gitee.com/da-qiang-classmate/typora/raw/master/ceshi.mp4
验证码,https://gitee.com/da-qiang-classmate/typora/raw/master/yzma.mp4
